166964717	霍比特人：五军之战	7.0	2015-01-23	奇幻,冒险,动作	美国	英语	2小时24分钟	彼得·杰克逊	马丁·弗瑞曼   理查德·阿米蒂奇   伊恩·麦克莱恩   本尼迪克特·康伯巴奇 卢克·伊万斯 奥兰多·布鲁姆 伊万杰琳·莉莉 艾丹·特纳  
226523697	谍·莲花	4.7	2015-01-16	剧情,悬疑	中国大陆	国语	1小时30分钟	青阳	鲁诺 高丽雯 潘阳 陈月末 英巴图 青阳 朱时茂 陈佩斯
219931803	找个高富帅	7.0	2015-01-16	爱情,喜剧	中国大陆	国语	1小时30分钟	陈童	徐申东 张惠鑫 妍子沁 王乐天
152407320	暴走神探	5.3	2015-01-16	爱情,喜剧,悬疑,动作	中国大陆	国语	2小时3分钟	罗卓瑶	阮经天 周冬雨 杨子姗 杨洋 高捷 赵立新 晋松 郭秋成
127284393	第七子：降魔之战	6.4	2015-01-16	奇幻,冒险	美国	英语	1小时42分钟	谢尔盖·波德罗夫	本·巴恩斯 杰夫·布里吉斯 艾丽西卡·维坎德 朱丽安·摩尔 杰曼·翰苏 基特·哈灵顿
70495	功夫3D	8.9	2015-01-15	喜剧,动作,犯罪	中国香港,中国大陆	粤语/国语	1小时40分钟	周星驰	周星驰 元秋 元华 黄圣依 梁小龙 田启文 林子聪 林雪 冯克安 袁祥仁 张一白 赵志凌 冯小刚 洪金宝 董志华
226031299	亡命地中海	5.7	2015-01-10	惊悚	英国,法国,美国	英语/希腊语/土耳其语	1小时36分钟	霍辛·阿米尼	奥斯卡·伊萨克 维果·莫特森   克尔斯滕·邓斯特  
229165541	伞头和他的女人	7.0	2015-01-09	爱情	中国大陆	国语	1小时35分钟	牛建荣	褚栓忠 丁柳元 彭婧
226030983	安妮：纽约奇缘	9.0	2015-01-09	音乐,剧情,家庭,喜剧	美国	英语	1小时58分钟	威尔·古勒 	奎文赞妮·瓦利斯   杰米·福克斯  卡梅隆·迪亚茨   萝丝·拜恩   鲍比·坎纳瓦尔   阿德沃尔·阿吉纽依-艾格拜吉  
184599406	前目的地	7.6	2015-01-09	科幻,悬疑	澳大利亚	英语	1小时37分钟	彼得·斯派瑞 迈克尔·斯派瑞	伊桑·霍克 诺亚·泰勒 克里斯托弗·卡比 萨拉·斯诺克  迈德琳·怀斯特  
221102864	重返20岁	9.0	2015-01-08	爱情,奇幻,喜剧	中国大陆	国语	2小时11分钟	陈正道	杨子姗 陈柏霖 鹿晗 归亚蕾 王德顺
25846517	一代宗师	7.8	2015-01-08	动作,传记	中国大陆,中国香港	国语/粤语	1小时51分钟	王家卫	梁朝伟 章子怡 张震 赵本山 小沈阳 宋慧乔 徐锦江 张智霖 张晋 袁祥仁 吴廷烨 王庆祥 卢海鹏 刘洵 黎烈弓 陈美诗
208315566	博物馆奇妙夜3	8.0	2015-01-04	冒险,奇幻	美国	英语	1小时38分钟	肖恩·利维	本·斯蒂勒 罗宾·威廉姆斯  丹·史蒂文斯   欧文·威尔逊   史蒂夫·库根 瑞奇·热维斯  
224613160	龙骑侠	7.1	2015-01-01	动画,冒险,儿童	中国大陆	国语	1小时30分钟	刘可欣	唐小喜 张雪凌 路知行
224611858	闯堂兔2疯狂马戏团	6.5	2015-01-01	动画,喜剧,儿童	中国大陆	国语	1小时28分钟	曾宪林	小连杀 叮当 郝祥海
227076186	向阳花开	7.3	2014-12-31	音乐,爱情	中国大陆	国语	1小时30分钟	刘宁	安钧璨 陈乔希 姚政 林怿宸
224611234	斑马总动员	7.5	2014-12-31	动画,家庭	南非	英语	1小时26分钟	安东尼·希尔瓦斯顿	杰克·T·奥斯汀 史蒂夫·布西密 洛雷塔·迪瓦恩
211569719	十万个冷笑话	7.9	2014-12-31	奇幻,动画,喜剧	中国大陆	国语	1小时40分钟	卢恒宇 李姝洁	阿杰 皇贞季 宝木中阳 山新 朱雀橙
183618749	王牌	5.6	2014-12-31	剧情,悬疑,战争	中国大陆	国语	1小时30分钟	范建会	林志玲 梁家辉 钟欣潼 蒙亭宜 邬君梅 李铭顺 郑则仕 苏瑾 刘璐佳
122537885	怨灵人偶	4.3	2014-12-31	恐怖	中国大陆	国语	1小时24分钟	石井辉仪	汪东城 周奇奇 李逸朗 蒋婧 沈夕浓
226133461	末日浩劫	4.3	2014-12-26	冒险,惊悚,科幻	西班牙,法国	英语	1小时42分钟	大卫·帕斯特尔   亚历克斯·帕斯特尔 	奎姆·古铁雷兹  何塞·卡罗纳多   玛塔·埃图娜   拉蒂西亚·多瑞拉  
223976812	还魂之迷失曼谷	5.3	2014-12-26	惊悚,悬疑	中国大陆,泰国	国语	1小时26分钟	刘晨 田里	范逸臣 李昕芸 李媛
183599127	抢劫坚果店	8.0	2014-12-26	动画,冒险,喜剧	加拿大,韩国,美国	英语	1小时26分钟	彼得·莱佩尼奥蒂斯	威尔·阿奈特 布兰登·费舍    凯瑟琳·海格尔  
221956098	爱你不等来生	7.0	2014-12-24	爱情	中国大陆	国语	1小时38分钟	王安庆	向甜 刘长纯 王豫飞 王小溪
221955067	37次想你	9.4	2014-12-24	爱情	中国大陆	国语	1小时31分钟	郭廷波	付辛博 白冰 李彧 傅颖 吉杰
211613117	微爱之渐入佳境	7.4	2014-12-24	爱情	中国大陆	国语	1小时38分钟	顾长卫	陈赫 杨颖 张鲁一 曹璐 王姬 蒋雯丽 姜瑞佳 涂彦倪 佟大为 王宝强 文章
198056648	男人不可以穷	8.2	2014-12-24	剧情	中国香港,中国大陆	国语/粤语	1小时44分钟	钟澍佳	黄宗泽 陈伟霆 谢天华 邓丽欣 赵荣 翟天临 杨旸 田启文 李灿森 黄智贤 洪天明 龚慈恩 陈嘉桓
159639640	智取威虎山	8.7	2014-12-23	动作,战争	中国大陆	国语	2小时21分钟	徐克	张涵予 梁家辉 林更新 佟丽娅 余男 陈晓 韩庚
152408148	一步之遥	5.1	2014-12-18	喜剧,爱情,悬疑,歌舞	中国大陆	国语	2小时20分钟	姜文	姜文 葛优 周韵 舒淇 文章 那英 王志文 洪晃 刘利年
223576770	凡人烦恼	7.0	2014-12-16	喜剧,悬疑	中国大陆	国语	1小时30分钟	雷金克	彭波 王双宝 王迎奇 李添诺
221955936	花咒	5.1	2014-12-12	爱情,惊悚,恐怖	中国大陆	国语	1小时35分钟	李克龙	齐志 廖蔚蔚 杨紫彤
215947426	鸣梁海战	8.2	2014-12-12	剧情,动作,战争	韩国	韩语	1小时49分钟	金汉珉	崔岷植 柳承龙 赵震雄 晋久 李贞贤 权律
208311595	出埃及记：诸神与国王	7.0	2014-12-12	剧情/史诗	英国/美国	英语		雷德利·斯科特	克里斯蒂安·贝尔 乔尔·埃哲顿 本·金斯利 亚伦·保尔 约翰·特托罗 西格妮·韦弗
181998536	我的早更女友	7.5	2014-12-12	爱情,喜剧	中国大陆	国语	1小时38分钟	郭在容	周迅 佟大为 钟汉良 张梓琳
221880567	精武青春	7.0	2014-12-11	爱情,喜剧	中国香港,中国大陆	国语/粤语	1小时27分钟	邱礼涛	吴千语 徐正曦 盛君 张楚楚 林德信
140275510	谁动了我的梦想	5.4	2014-12-11	爱情,剧情	中国大陆	国语	1小时30分钟	王伟 毕国书	立威廉 张蓝心 胡兵 郑浩南 王希瑶 罗家英 贺彬
219835970	密道追踪之阴兵虎符	5.2	2014-12-05	惊悚,悬疑,动作	中国大陆	国语	1小时35分钟	俞岛	唐文龙 母其弥雅 李炳渊 李渊 李海涛 郭达 张山
208280725	匆匆那年	7.6	2014-12-05	爱情	中国大陆	国语	2小时0分钟	张一白	彭于晏 倪妮 郑恺 魏晨 张子萱 陈赫
221880234	黄克功案件	7.0	2014-12-04	剧情,历史	中国大陆	国语	1小时32分钟	王放放	成泰燊 王凯 毛孩 黄海冰 杨佳音
